,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GAMEID,MIN,SEC,TT,TTSHARE,PTSSHARE,PPM,PPM_ZSCORE,EPTS,EPTS_ZSCORE,EPTS_DIFF,PTSCAP,PTSCAP_SHARE
1,Giannis Antetokounmpo,32:10,14,18,.778,0,0,,10,14,.714,3,14,17,12,1,0,5,1,38,+20,202303290INDMIL,32,10,32.166666666666664,0.1340277777777778,0.2550335570469799,1.1813471502590673,1.484675953979486,19.970138888888894,1.1278332764429297,-18.029861111111106,1222.3333333333333,0.2766659750646019
2,Brook Lopez,31:19,9,14,.643,0,2,.000,3,3,1.000,3,5,8,1,0,3,1,4,21,+22,202303290INDMIL,31,19,31.316666666666666,0.13048611111111114,0.14093959731543623,0.6705694518360831,0.47245992845524787,19.44243055555556,1.0578844025157397,-1.5575694444444395,657.65,0.14885414112454493
3,Jevon Carter,27:30,3,6,.500,2,5,.400,0,0,,0,2,2,2,0,0,0,1,8,-5,202303290INDMIL,27,30,27.5,0.11458333333333336,0.053691275167785234,0.2909090909090909,-0.27991885153677415,17.07291666666667,0.7438002431171801,9.072916666666671,220.0,0.04979534866175
4,Grayson Allen,25:58,1,3,.333,0,1,.000,1,1,1.000,0,2,2,3,2,0,0,0,3,+8,202303290INDMIL,25,58,25.966666666666665,0.10819444444444447,0.020134228187919462,0.11553273427471118,-0.6274648764150309,16.120972222222225,0.6176179607387192,13.120972222222225,77.89999999999999,0.01763208027613784
6,Bobby Portis,23:13,5,7,.714,1,1,1.000,1,2,.500,1,7,8,0,0,0,2,4,12,0,202303290INDMIL,23,13,23.216666666666665,0.09673611111111113,0.08053691275167785,0.5168700646087581,0.16787148744638125,14.413680555555558,0.39131278038604533,2.4136805555555583,278.59999999999997,0.06305901880528886
7,Wesley Matthews,20:21,3,4,.750,1,2,.500,0,0,,0,1,1,1,0,0,0,1,7,+14,202303290INDMIL,20,21,20.35,0.0847916666666667,0.04697986577181208,0.34398034398034394,-0.1747467325910315,12.633958333333338,0.1554067742002279,5.633958333333338,142.45000000000002,0.03224248825848313
8,Pat Connaughton,19:42,0,3,.000,0,2,.000,0,0,,2,2,4,0,0,0,0,3,0,-1,202303290INDMIL,19,42,19.7,0.08208333333333336,0.0,0.0,-0.8564178739060305,12.23041666666667,0.10191645884414124,12.23041666666667,0.0,0.0
9,A.J. Green,18:09,3,7,.429,3,6,.500,0,0,,0,1,1,1,0,0,0,1,9,-1,202303290INDMIL,18,9,18.15,0.07562500000000001,0.06040268456375839,0.49586776859504134,0.12625091422338386,11.268125000000001,-0.02563737008191163,2.2681250000000013,163.35,0.03697304638134937
10,Goran Dragić,4:42,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,2,0,0,-6,202303290INDMIL,4,42,4.7,0.019583333333333338,0.0,0.0,-0.8564178739060305,2.917916666666667,-1.132475433988626,2.917916666666667,0.0,0.0
11,Thanasis Antetokounmpo,2:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6,202303290INDMIL,2,14,2.2333333333333334,0.009305555555555558,0.0,0.0,-0.8564178739060305,1.3865277777777782,-1.3354643230322365,1.3865277777777782,0.0,0.0
