,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GAMEID,MIN,SEC,TT,TTSHARE,PTSSHARE,PPM,PPM_ZSCORE,EPTS,EPTS_ZSCORE,EPTS_DIFF,PTSCAP,PTSCAP_SHARE
2,Brook Lopez,30:22,6,12,.500,2,5,.400,0,0,,2,2,4,2,1,5,1,1,14,-2,202211210MILMIL,30,22,30.366666666666667,0.1265453535213224,0.11764705882352941,0.4610318331503842,0.02469024669540297,15.058897069037366,1.043903578247017,1.058897069037366,425.1333333333333,0.1248378840008026
3,Jrue Holiday,27:56,7,14,.500,1,6,.167,2,2,1.000,1,3,4,6,3,0,5,1,17,+7,202211210MILMIL,27,56,27.933333333333334,0.11640505625781358,0.14285714285714285,0.6085918854415274,0.3749360308969559,13.852201694679817,0.8518478704219135,-3.1477983053201832,474.8666666666667,0.13944178261529197
4,Jevon Carter,25:50,2,3,.667,1,1,1.000,0,0,,1,2,3,3,1,1,2,2,5,+14,202211210MILMIL,25,50,25.833333333333332,0.10765384081122377,0.04201680672268908,0.19354838709677422,-0.6102034651822222,12.810807056535628,0.6861011636687414,7.810807056535628,129.16666666666666,0.03792902622730987
6,Bobby Portis,24:04,6,11,.545,1,3,.333,0,0,,0,5,5,4,0,1,1,4,13,+5,202211210MILMIL,24,4,24.066666666666666,0.10029170718155299,0.1092436974789916,0.5401662049861496,0.212522113725573,11.934713154604806,0.5466634579875019,-1.0652868453951942,312.8666666666667,0.09187144262439495
7,George Hill,19:45,0,1,.000,0,1,.000,0,0,,0,5,5,5,2,1,0,0,0,+5,202211210MILMIL,19,45,19.75,0.08230309765245172,0.0,0.0,-1.0696063019737367,9.794068620641754,0.20596189410598212,9.794068620641754,0.0,0.0
8,Jordan Nwora,18:12,2,4,.500,1,2,.500,1,2,.500,1,2,3,2,0,0,3,0,6,0,202211210MILMIL,18,12,18.2,0.0758438672037783,0.05042016806722689,0.32967032967032966,-0.28710696458159685,9.025420197249618,0.08362503912149848,3.025420197249618,109.19999999999999,0.03206593288275281
9,Pat Connaughton,15:31,2,5,.400,1,4,.250,2,2,1.000,0,2,2,1,2,0,0,1,7,+3,202211210MILMIL,15,31,15.516666666666667,0.06466175857758022,0.058823529411764705,0.45112781954887216,0.001182264983928341,7.694749270732046,-0.12816241950755422,0.6947492707320464,108.61666666666667,0.031894640506242376
10,MarJon Beauchamp,5:12,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,1,1,0,-9,202211210MILMIL,5,12,5.2,0.02166967634393666,0.0,0.0,-1.0696063019737367,2.5786914849284623,-0.9424260026838501,2.5786914849284623,0.0,0.0
11,Serge Ibaka,4:11,0,2,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,2,1,0,202211210MILMIL,4,11,4.183333333333334,0.017432976802333657,0.008403361344537815,0.2390438247011952,-0.5022163441834202,2.074524239477705,-1.0226684559532428,1.074524239477705,4.183333333333334,0.0012284110429748101
12,Sandro Mamukelashvili,1:23,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,-6,202211210MILMIL,1,23,1.3833333333333333,0.005764689540213919,0.01680672268907563,1.4457831325301205,2.3620775391195035,0.6859980552854563,-1.243664064957472,-1.3140019447145437,2.7666666666666666,0.0008124152714494759
13,A.J. Green,0:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5,202211210MILMIL,0,39,0.65,0.0027087095429920824,0.0,0.0,-1.0696063019737367,0.3223364356160578,-1.3015438673157222,0.3223364356160578,0.0,0.0
14,Thanasis Antetokounmpo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202211210MILMIL,0,0,0.0,0.0,0.0,,,0.0,-1.3528464194059897,0.0,0.0,0.0
0,Jrue Holiday,35:50,3,6,.500,1,4,.250,7,8,.875,1,4,5,11,2,0,7,1,14,+12,202211230MILMIL,35,50,35.833333333333336,0.14930555555555555,0.12389380530973451,0.39069767441860465,-0.036825999941082196,16.87152777777778,1.4060841381021607,2.8715277777777786,501.6666666666667,0.1477808326787117
1,Giannis Antetokounmpo,34:00,15,27,.556,0,2,.000,6,9,.667,3,8,11,7,0,0,8,5,36,+5,202211230MILMIL,34,0,34.0,0.14166666666666666,0.3185840707964602,1.0588235294117647,2.1973826159211027,16.008333333333333,1.2761099740759103,-19.991666666666667,1224.0,0.36056559308719555
2,Grayson Allen,32:48,4,8,.500,2,4,.500,3,3,1.000,3,1,4,2,0,0,1,2,13,+2,202211230MILMIL,32,48,32.8,0.13666666666666663,0.11504424778761062,0.39634146341463417,-0.017953205381790023,15.44333333333333,1.1910359758041826,2.44333333333333,426.4,0.1256087981146897
3,Brook Lopez,31:59,8,16,.500,3,7,.429,1,3,.333,1,6,7,0,1,1,0,0,20,-6,202211230MILMIL,31,59,31.983333333333334,0.13326388888888888,0.17699115044247787,0.6253256904637832,0.7477685956028297,15.058819444444444,1.1331383936470352,-4.941180555555556,639.6666666666667,0.18843283582089554
4,Jevon Carter,24:16,1,4,.250,0,2,.000,0,0,,0,5,5,2,0,0,0,4,2,+5,202211230MILMIL,24,16,24.266666666666666,0.1011111111111111,0.017699115044247787,0.08241758241758242,-1.0677126697205688,11.425555555555555,0.586065321427455,9.425555555555555,48.53333333333333,0.01429693637077769
6,Bobby Portis,24:54,4,10,.400,1,5,.200,0,0,,3,9,12,1,1,2,3,3,9,-14,202211230MILMIL,24,54,24.9,0.10374999999999998,0.07964601769911504,0.3614457831325301,-0.13464413862437075,11.723749999999997,0.6309654871819775,2.7237499999999972,224.1,0.06601531814611154
7,George Hill,18:36,3,7,.429,2,4,.500,2,2,1.000,0,1,1,0,0,0,0,0,10,-13,202211230MILMIL,18,36,18.6,0.0775,0.08849557522123894,0.5376344086021505,0.45452950598061365,8.7575,0.18432699625540935,-1.2424999999999997,186.0,0.05479183032207384
8,Wesley Matthews,16:51,2,3,.667,2,3,.667,0,0,,0,0,0,0,0,0,0,2,6,-12,202211230MILMIL,16,51,16.85,0.07020833333333333,0.05309734513274336,0.35608308605341243,-0.1525769635987109,7.933541666666667,0.06026074877580691,1.9335416666666667,101.10000000000001,0.02978201099764336
9,Pat Connaughton,14:24,1,6,.167,1,5,.200,0,0,,0,3,3,1,1,0,0,0,3,+1,202211230MILMIL,14,24,14.4,0.06,0.02654867256637168,0.20833333333333331,-0.6466511983431327,6.779999999999999,-0.11343199769563655,3.7799999999999994,43.2,0.012725844461901021
10,Jordan Nwora,6:22,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-5,202211230MILMIL,6,22,6.366666666666666,0.02652777777777777,0.0,0.0,-1.3433165418948905,2.997638888888888,-0.6829551527924781,2.997638888888888,0.0,0.0
11,Thanasis Antetokounmpo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202211230MILMIL,0,0,0.0,0.0,0.0,,,0.0,-1.1343199769563648,0.0,0.0,0.0
12,MarJon Beauchamp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202211230MILMIL,0,0,0.0,0.0,0.0,,,0.0,-1.1343199769563648,0.0,0.0,0.0
13,A.J. Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202211230MILMIL,0,0,0.0,0.0,0.0,,,0.0,-1.1343199769563648,0.0,0.0,0.0
14,Serge Ibaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202211230MILMIL,0,0,0.0,0.0,0.0,,,0.0,-1.1343199769563648,0.0,0.0,0.0
15,Sandro Mamukelashvili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202211230MILMIL,0,0,0.0,0.0,0.0,,,0.0,-1.1343199769563648,0.0,0.0,0.0
