,GAME_ID,PLAYER_NAME,TIME,TIMESHARE,PTS_TEAM,PTSSHARE,PTSCAP,PTSCAPSHARE,GAME_DATE,MATCHUP,WL,W_PCT,PTS,HHI_TS,HHI_PS,HHI_PCS
0,22101215,Andrew Wiggins,34.93333333333333,0.14555555555555555,15.0,0.15,524.0,0.2001808249181831,"APR 09, 2022",GSW @ SAS,W,0.642,100,0.10930561342592592,0.1294,0.15345422935433367
1,22101215,Draymond Green,31.683333333333334,0.1320138888888889,12.0,0.12,380.2,0.14524570540819315,"APR 09, 2022",GSW @ SAS,W,0.642,100,0.10930561342592592,0.1294,0.15345422935433367
2,22101215,Kevon Looney,12.116666666666667,0.050486111111111114,6.0,0.06,72.7,0.027773179335022734,"APR 09, 2022",GSW @ SAS,W,0.642,100,0.10930561342592592,0.1294,0.15345422935433367
3,22101215,Damion Lee,23.233333333333334,0.09680555555555556,4.0,0.04,92.93333333333334,0.03550280787989151,"APR 09, 2022",GSW @ SAS,W,0.642,100,0.10930561342592592,0.1294,0.15345422935433367
4,22101215,Jordan Poole,34.266666666666666,0.14277777777777778,18.0,0.18,616.8,0.23563269620140329,"APR 09, 2022",GSW @ SAS,W,0.642,100,0.10930561342592592,0.1294,0.15345422935433367
5,22101215,Otto Porter Jr.,25.066666666666666,0.10444444444444444,6.0,0.06,150.4,0.05745648104521897,"APR 09, 2022",GSW @ SAS,W,0.642,100,0.10930561342592592,0.1294,0.15345422935433367
6,22101215,Gary Payton II,23.216666666666665,0.0967361111111111,6.0,0.06,139.29999999999998,0.053216009372333783,"APR 09, 2022",GSW @ SAS,W,0.642,100,0.10930561342592592,0.1294,0.15345422935433367
7,22101215,Nemanja Bjelica,16.316666666666666,0.06798611111111111,12.0,0.12,195.8,0.07480039221179438,"APR 09, 2022",GSW @ SAS,W,0.642,100,0.10930561342592592,0.1294,0.15345422935433367
8,22101215,Andre Iguodala,17.3,0.07208333333333333,3.0,0.03,51.900000000000006,0.01982707025430096,"APR 09, 2022",GSW @ SAS,W,0.642,100,0.10930561342592592,0.1294,0.15345422935433367
9,22101215,Jonathan Kuminga,21.866666666666667,0.09111111111111111,18.0,0.18,393.6,0.15036483337365816,"APR 09, 2022",GSW @ SAS,W,0.642,100,0.10930561342592592,0.1294,0.15345422935433367
10,22101215,Moses Moody,0.0,0.0,0.0,0.0,0.0,0.0,"APR 09, 2022",GSW @ SAS,W,0.642,100,0.10930561342592592,0.1294,0.15345422935433367
11,22101215,Juan Toscano-Anderson,0.0,0.0,0.0,0.0,0.0,0.0,"APR 09, 2022",GSW @ SAS,W,0.642,100,0.10930561342592592,0.1294,0.15345422935433367
12,22101215,Quinndary Weatherspoon,0.0,0.0,0.0,0.0,0.0,0.0,"APR 09, 2022",GSW @ SAS,W,0.642,100,0.10930561342592592,0.1294,0.15345422935433367
0,22101202,Andrew Wiggins,27.35,0.11395833333333334,17.0,0.1328125,464.95000000000005,0.13806363487892154,"APR 07, 2022",GSW vs. LAL,W,0.638,128,0.10631976273148148,0.1348876953125,0.18420454524662977
1,22101202,Draymond Green,26.433333333333334,0.11013888888888888,10.0,0.078125,264.3333333333333,0.07849192562568359,"APR 07, 2022",GSW vs. LAL,W,0.638,128,0.10631976273148148,0.1348876953125,0.18420454524662977
2,22101202,Kevon Looney,15.05,0.06270833333333334,4.0,0.03125,60.2,0.017875966920552912,"APR 07, 2022",GSW vs. LAL,W,0.638,128,0.10631976273148148,0.1348876953125,0.18420454524662977
3,22101202,Klay Thompson,33.46666666666667,0.13944444444444445,33.0,0.2578125,1104.4,0.32794381838967834,"APR 07, 2022",GSW vs. LAL,W,0.638,128,0.10631976273148148,0.1348876953125,0.18420454524662977
4,22101202,Jordan Poole,33.233333333333334,0.13847222222222222,19.0,0.1484375,631.4333333333334,0.18749969068440409,"APR 07, 2022",GSW vs. LAL,W,0.638,128,0.10631976273148148,0.1348876953125,0.18420454524662977
5,22101202,Gary Payton II,24.666666666666668,0.10277777777777779,10.0,0.078125,246.66666666666669,0.0732459331185446,"APR 07, 2022",GSW vs. LAL,W,0.638,128,0.10631976273148148,0.1348876953125,0.18420454524662977
6,22101202,Otto Porter Jr.,29.65,0.12354166666666666,10.0,0.078125,296.5,0.08804359122830462,"APR 07, 2022",GSW vs. LAL,W,0.638,128,0.10631976273148148,0.1348876953125,0.18420454524662977
7,22101202,Andre Iguodala,20.666666666666668,0.08611111111111111,5.0,0.0390625,103.33333333333334,0.030684107117228143,"APR 07, 2022",GSW vs. LAL,W,0.638,128,0.10631976273148148,0.1348876953125,0.18420454524662977
8,22101202,Nemanja Bjelica,15.466666666666667,0.06444444444444444,9.0,0.0703125,139.2,0.04133446171662732,"APR 07, 2022",GSW vs. LAL,W,0.638,128,0.10631976273148148,0.1348876953125,0.18420454524662977
